ID,PROV_EN,PROV_TH,X,Y,PROV_CODE
1,KRABI,กระบี่,523017.1607,819408.399,81
1,KRABI,กระบี่,514520.017,832670.4073,81
1,KRABI,กระบี่,516250.7619,838491.7427,81
1,KRABI,กระบี่,516367.7189,842732.0917,81
1,KRABI,กระบี่,508589.197,839875.7642,81
1,KRABI,กระบี่,474554.0896,849101.077,81
1,KRABI,กระบี่,474972.666,856171.4534,81
1,KRABI,กระบี่,496791.6105,865028.2661,81
1,KRABI,กระบี่,502435.8551,868813.8132,81
1,KRABI,กระบี่,500859.1976,874491.348,81
1,KRABI,กระบี่,498602.1857,872738.2046,81
1,KRABI,กระบี่,464947.7557,892763.3975,81
1,KRABI,กระบี่,466480.0992,895159.1031,81
1,KRABI,กระบี่,460932.6854,910494.9391,81
1,KRABI,กระบี่,459321.1424,913627.3572,81
1,KRABI,กระบี่,502587.968,902879.2998,81
2,KANCHANABURI,กาญจนบุรี,505602.8329,1612154.601,71
3,KALASIN,กาฬสินธุ์,993874.3895,1843702.983,46
4,KAMPAENG PHET,กำแพงเพชร,557405.8678,1805348.124,62
5,KHON KAEN,ขอนแก่น,882624.5204,1817088.953,40
6,CHANTHABURI,จันทบุรี,840176.3244,1425562.067,22
7,CHACHOENGSAO,ฉะเชิงเทรา,764703.9188,1505503.989,24
8,CHONBURI,ชลบุรี,712997.2495,1384615.864,20
8,CHONBURI,ชลบุรี,712485.9061,1390136.329,20
8,CHONBURI,ชลบุรี,713799.9111,1391823.129,20
8,CHONBURI,ชลบุรี,703431.4226,1397492.987,20
8,CHONBURI,ชลบุรี,694183.8596,1404381.165,20
8,CHONBURI,ชลบุรี,693213.8813,1428523.101,20
8,CHONBURI,ชลบุรี,681934.3916,1430286.136,20
8,CHONBURI,ชลบุรี,696332.5612,1454053.664,20
8,CHONBURI,ชลบุรี,739448.0602,1459429.054,20
9,CHAINAT,ชัยนาท,610628.58,1672720.364,18
10,CHAIYAPHUM,ชัยภูมิ,801455.9702,1773862.743,36
11,CHUMPHON,ชุมพร,528562.2136,1133383.142,86
11,CHUMPHON,ชุมพร,538626.9541,1149166.357,86
11,CHUMPHON,ชุมพร,532684.4486,1153793.069,86
11,CHUMPHON,ชุมพร,552999.2687,1199005.593,86
11,CHUMPHON,ชุมพร,507491.589,1144278.593,86
12,CHIANG RAI,เชียงราย,591289.9092,2194673.658,57
13,CHIANG MAI,เชียงใหม่,471564.5375,2077379.055,50
14,TRANG,ตรัง,564489.9406,784820.9873,92
14,TRANG,ตรัง,567838.0569,792668.9745,92
14,TRANG,ตรัง,506732.9405,796315.9979,92
14,TRANG,ตรัง,508200.0369,798169.4611,92
14,TRANG,ตรัง,543948.7966,800734.2514,92
14,TRANG,ตรัง,528087.6462,808368.6103,92
14,TRANG,ตรัง,556128.483,809887.6646,92
14,TRANG,ตรัง,554708.4347,813391.3663,92
14,TRANG,ตรัง,532788.4349,814897.9004,92
14,TRANG,ตรัง,555955.3308,816564.7397,92
14,TRANG,ตรัง,533608.5337,827954.0033,92
14,TRANG,ตรัง,531026.3652,833977.2897,92
14,TRANG,ตรัง,567936.87,832454.6951,92
15,TRAD,ตราด,883806.951,1297841.868,23
15,TRAD,ตราด,889127.5838,1291149.773,23
15,TRAD,ตราด,869302.7368,1306037.267,23
15,TRAD,ตราด,879598.3483,1308777.168,23
15,TRAD,ตราด,884497.3224,1311458.094,23
15,TRAD,ตราด,876159.339,1317593.49,23
15,TRAD,ตราด,870990.4478,1317955.686,23
15,TRAD,ตราด,865682.9356,1319378.155,23
15,TRAD,ตราด,880784.6436,1323984.72,23
15,TRAD,ตราด,878679.4488,1322921.086,23
15,TRAD,ตราด,863834.1312,1333850.788,23
15,TRAD,ตราด,885014.6701,1370108.481,23
16,TAK,ตาก,478294.4936,1847514.157,63
17,YASOTHON,ยโสธร,1072700.469,1764661.248,35
18,NAKHON NAYOK,นครนายก,734841.4707,1572459.908,26
19,NAKHON PATHOM,นครปฐม,619825.6758,1539440.522,73
20,NAKHON PHANOM,นครพนม,1078114.109,1930360.941,48
21,NAKHON RATCHASIMA,นครราชสีมา,834821.003,1656138.459,30
22,NAKHON SI THAMMARAT,นครศรีธรรมราช,605524.4866,1028704.807,80
22,NAKHON SI THAMMARAT,นครศรีธรรมราช,600739.1224,1029270.731,80
22,NAKHON SI THAMMARAT,นครศรีธรรมราช,586308.9026,925882.6164,80
23,NAKHON SAWAN,นครสวรรค์,623852.706,1734057.621,60
24,NONTHABURI,นนทบุรี,651281.4436,1539581.81,12
25,NARATHIWAT,นราธิวาส,801223.0093,683393.3982,96
26,NAN,น่าน,693390.4667,2084879.926,55
27,BURIRAM,บุรีรัมย์,925738.8536,1641541.3,31
28,PATHUM THANI,ปทุมธานี,682345.0649,1555524.342,13
29,PRACHUAP KHILIKHAN,ประจวบคีรีขันธ์,569453.9059,1319562.795,77
30,PHACHINBURI,ปราจีนบุรี,786232.5839,1556389.762,25
31,PATTANI,ปัตตานี,759824.6188,744493.2059,94
32,BANGKOK,กรุงเทพมหานคร,676040.8511,1522873.106,10
33,PHRA NAKHON SI AYUDHYA,พระนครศรีอยุธยา,664582.3296,1586026.675,14
34,PHANGNGA,พังงา,454072.3437,884863.9186,82
34,PHANGNGA,พังงา,450167.8812,899602.0791,82
34,PHANGNGA,พังงา,449524.1671,903489.0427,82
34,PHANGNGA,พังงา,457370.1579,898415.9425,82
34,PHANGNGA,พังงา,444277.5907,904506.9648,82
34,PHANGNGA,พังงา,446216.2198,907956.175,82
34,PHANGNGA,พังงา,443268.3523,914283.0183,82
34,PHANGNGA,พังงา,454771.9193,915543.9222,82
34,PHANGNGA,พังงา,444543.5218,916198.1383,82
34,PHANGNGA,พังงา,440527.9046,918167.1299,82
34,PHANGNGA,พังงา,443854.371,920021.0743,82
34,PHANGNGA,พังงา,449895.0112,922674.4756,82
34,PHANGNGA,พังงา,441824.2814,923094.8551,82
34,PHANGNGA,พังงา,350371.0839,937403.3429,82
34,PHANGNGA,พังงา,349765.1664,940289.8306,82
34,PHANGNGA,พังงา,349234.1523,946701.4794,82
34,PHANGNGA,พังงา,349559.7328,949740.4288,82
34,PHANGNGA,พังงา,350281.006,955255.1855,82
34,PHANGNGA,พังงา,350651.9526,958581.0373,82
34,PHANGNGA,พังงา,423259.4734,985256.8244,82
34,PHANGNGA,พังงา,427501.407,986935.2351,82
34,PHANGNGA,พังงา,430200.2812,991241.0699,82
34,PHANGNGA,พังงา,431557.8438,991603.0144,82
34,PHANGNGA,พังงา,421109.8018,989608.5464,82
34,PHANGNGA,พังงา,369874.2204,1002307.256,82
34,PHANGNGA,พังงา,421701.5033,1004929.601,82
34,PHANGNGA,พังงา,425947.3194,1011438.542,82
34,PHANGNGA,พังงา,421781.7632,1017957.137,82
34,PHANGNGA,พังงา,437020.6289,958339.8001,82
34,PHANGNGA,พังงา,375971.6395,1035708.392,82
34,PHANGNGA,พังงา,375246.6752,1040251.288,82
34,PHANGNGA,พังงา,376918.8482,1045751.947,82
35,PHATTHALUNG,พัทลุง,617748.2324,830499.7222,93
36,PHICHIT,พิจิตร,643853.0622,1798005.372,66
37,PHITSANULOK,พิษณุโลก,664762.9719,1877496.282,65
38,PHETCHABURI,เพชรบุรี,567686.8973,1430746.613,76
39,PHETCHABUN,เพชรบูรณ์,729473.591,1798322.8,67
40,PHRAE,แพร่,613097.6065,2012446.292,54
41,PHUKET,ภูเก็ต,426307.1578,830078.2249,83
41,PHUKET,ภูเก็ต,430289.8016,840036.6726,83
41,PHUKET,ภูเก็ต,430836.5055,855811.6055,83
41,PHUKET,ภูเก็ต,442777.7218,857694.5998,83
41,PHUKET,ภูเก็ต,431111.6211,860757.2602,83
41,PHUKET,ภูเก็ต,437128.4764,877198.6098,83
41,PHUKET,ภูเก็ต,439545.3956,879255.4002,83
41,PHUKET,ภูเก็ต,441487.0713,889724.0095,83
41,PHUKET,ภูเก็ต,428090.5066,880931.6266,83
42,MAHA SARAKHAM,มหาสารคาม,946519.5745,1772797.375,44
43,MAE HONG SON,แม่ฮ่องสอน,398153.6267,2080386.619,58
44,YALA,ยะลา,746886.7136,684641.7612,95
45,ROI ET,ร้อยเอ็ด,1016264.26,1765551.791,45
46,RANONG,ระนอง,429251.6061,1042647.025,85
46,RANONG,ระนอง,431850.1345,1048142.772,85
46,RANONG,ระนอง,428488.5753,1048657.985,85
46,RANONG,ระนอง,432765.6394,1057379.208,85
46,RANONG,ระนอง,441936.9919,1058795.758,85
46,RANONG,ระนอง,446267.7113,1072333.06,85
46,RANONG,ระนอง,435269.5644,1076073.382,85
46,RANONG,ระนอง,440103.4098,1086686,85
46,RANONG,ระนอง,446862.2478,1094279.866,85
46,RANONG,ระนอง,443503.6649,1094768.309,85
46,RANONG,ระนอง,452393.0859,1095215.055,85
46,RANONG,ระนอง,447098.0802,1095851.312,85
46,RANONG,ระนอง,443728.2016,1097684.563,85
46,RANONG,ระนอง,468824.2261,1103005.135,85
47,RAYONG,ระยอง,767081.3803,1389597.539,21
47,RAYONG,ระยอง,763915.3701,1422090.428,21
48,RATCHABURI,ราชบุรี,562874.1764,1496261.624,70
49,LOPBURI,ลพบุรี,704257.2227,1668739.987,16
50,LAMPANG,ลำปาง,554386.8444,2025987.908,52
51,LAMPHUN,ลำพูน,495427.6004,2002817.537,51
52,LOEI,เลย,779984.825,1926139.38,42
53,SI SAKET,ศรีสะเกษ,1078811.148,1648974.155,33
54,SAKON NAKHON,สกลนคร,1013238.693,1928818.613,47
55,SONGKHLA,สงขลา,670354.1087,767828.6284,90
56,SATUN,สตูล,618242.4909,714693.8967,91
56,SATUN,สตูล,533260.6696,717214.9783,91
56,SATUN,สตูล,518410.0324,722035.0429,91
56,SATUN,สตูล,538045.033,725462.8673,91
56,SATUN,สตูล,533030.8019,722995.091,91
56,SATUN,สตูล,549620.5405,725807.6044,91
56,SATUN,สตูล,524082.815,725366.2227,91
56,SATUN,สตูล,550175.3994,727815.2195,91
56,SATUN,สตูล,593772.1517,736516.9823,91
56,SATUN,สตูล,597236.9051,741486.9304,91
56,SATUN,สตูล,572203.9552,730785.6744,91
56,SATUN,สตูล,594071.3194,742937.7789,91
56,SATUN,สตูล,584993.5784,750032.6062,91
56,SATUN,สตูล,558501.9681,755020.5807,91
56,SATUN,สตูล,575945.3478,755321.6108,91
56,SATUN,สตูล,580773.5689,766067.6495,91
56,SATUN,สตูล,578631.839,765841.9516,91
